藥品代碼,商品名稱,藥品學名,藥品中文名,ATC_CODE1,藥品分類代碼說明,DC藥預設替代藥,盤點分類,衛署適應症,商品名
UPL01I,Uplizna 100mg Vial,Inebilizumab,優視納點滴靜脈注射液100毫克,L04AA47,個案藥,,冰箱(針劑),"適用於治療抗水通道蛋白4抗體陽性[anti-aquaporin-4 (AQP4) antibody positive]的泛視神經脊髓炎(Neuromyelitis optica spectrum disorder, NMOSD)之成人病人。",UPLIZNA
UPT04O,Uptravi 200mcg Tab,Selexipag,尚達利(淺黃色圓形)膜衣錠200微克,B01AC27,鎖檔,,口服,用於原發性肺動脈高血壓 (WHO functional class II-III) 之成人患者。本品應與內皮素受體拮抗劑(endothelin receptor antagonist， ERA)及/或第五型磷酸二酯?(phosphodiesterase type 5， PDE 5)抑制劑合併使用; 或 ...後略，請點選【藥品仿單】分頁查閱,UPTRAVI
UPT05O,UPTRAVI 600MCG TAB,Selexipag,尚達利(淺紫色圓形)膜衣錠600微克,B01AC27,個案藥,,口服,用於原發性肺動脈高血壓 (WHO functional class II-III) 之成人患者。本品應與內皮素受體拮抗劑(endothelin receptor antagonist， ERA)及/或第五型磷酸二酯?(phosphodiesterase type 5， PDE 5)抑制劑合併使用; 或 ...後略，請點選【藥品仿單】分頁查閱,UPTRAVI
UPT06O,UPTRAVI 800MCG TAB,Selexipag,尚達利(綠色圓形)膜衣錠800微克,B01AC27,鎖檔,,口服,用於原發性肺動脈高血壓 (WHO functional class II-III) 之成人患者。本品應與內皮素受體拮抗劑(endothelin receptor antagonist， ERA)及/或第五型磷酸二酯?(phosphodiesterase type 5， PDE 5)抑制劑合併使用; 或 ...後略，請點選【藥品仿單】分頁查閱,UPTRAVI
URE03E,Urea Cream 100mg/gm;20gm,UREA,優膚,D02AE01,外用預設一份,,外用,去角質,UREA
URE04E,Ureson Cream 16gm Tube,"UREA,HYDROCORTISONE",優膚松乳膏,D02AE,外用預設一份,,外用,濕疹或皮膚炎、去角質。,URESON
URI02O,URIEF FC 8MG TAB,SILODOSIN,優列扶(白色圓扁形)膜衣錠,G04CA04,口服藥,,口服,治療前列腺肥大症所伴隨的排尿障礙。,URIEF
URO01O,Urosin FC 100mg Tab,ATENOLOL,優心膜衣錠(白色圓凸型)100毫克,C07AB03,口服藥,,口服,高血壓、狹心症,UROSIN
URO02O,UroSAN 100mg Cap,SODIUM PENTOSAN POLYSULPHATE,優而順膠囊(白色/淡藍色長圓柱形),G04BX15,口服藥,,口服,使用於因間質性膀胱炎引起的膀胱疼痛或不適的解除。,UROSAN
URO05I,Uromitexan 400mg/4ml Amp,MESNA,優路保注射液,V03AF01,注射藥,,針劑,尿路保護劑：防止ＯＸＡＺＡＰＨＯＳＰＨＯＲＩＮＥＳ類藥物所引起出血性膀胱發炎,UROMITEXAN
